Date,Metric,Value
2025-11-01,Net Income,66540.39
2025-12-01,Net Income,74906.73
2023-01-01,Net Cash from Operating Activities,34913.28
2023-02-01,Net Cash from Operating Activities,33417.09
2023-03-01,Net Cash from Operating Activities,38583.78
2023-04-01,Net Cash from Operating Activities,50837.17
2023-05-01,Net Cash from Operating Activities,47739.05
2023-06-01,Net Cash from Operating Activities,46654.13
2023-07-01,Net Cash from Operating Activities,38035.09
2023-08-01,Net Cash from Operating Activities,45650.89
2023-09-01,Net Cash from Operating Activities,47871.5
2023-10-01,Net Cash from Operating Activities,53891.99
2023-11-01,Net Cash from Operating Activities,62953.43
2023-12-01,Net Cash from Operating Activities,61817.09
2024-01-01,Net Cash from Operating Activities,39471.79
2024-02-01,Net Cash from Operating Activities,37421.92
2024-03-01,Net Cash from Operating Activities,52176.57
2024-04-01,Net Cash from Operating Activities,50918.53
2024-05-01,Net Cash from Operating Activities,57397.08
2024-06-01,Net Cash from Operating Activities,51278.67
2024-07-01,Net Cash from Operating Activities,42970.48
2024-08-01,Net Cash from Operating Activities,52748.1099999999
2024-09-01,Net Cash from Operating Activities,50590.56
2024-10-01,Net Cash from Operating Activities,61386.97
2024-11-01,Net Cash from Operating Activities,64104
2024-12-01,Net Cash from Operating Activities,52311.5600000001
2025-01-01,Net Cash from Operating Activities,51242.36
2025-02-01,Net Cash from Operating Activities,41259.77
2025-03-01,Net Cash from Operating Activities,60699.6
2025-04-01,Net Cash from Operating Activities,50313.08
2025-05-01,Net Cash from Operating Activities,59720.82
2025-06-01,Net Cash from Operating Activities,50124.57
2025-07-01,Net Cash from Operating Activities,49104.0500000001
2025-08-01,Net Cash from Operating Activities,54360.5499999999
2025-09-01,Net Cash from Operating Activities,58906.02
2025-10-01,Net Cash from Operating Activities,58311.73
2025-11-01,Net Cash from Operating Activities,60201.67
2025-12-01,Net Cash from Operating Activities,64495.58
2023-01-01,Net Cash from Investing Activities,-27192.69
2023-02-01,Net Cash from Investing Activities,-20376.75
2023-03-01,Net Cash from Investing Activities,-24936.25
2023-04-01,Net Cash from Investing Activities,-33206.66
2023-05-01,Net Cash from Investing Activities,-32748.2
2023-06-01,Net Cash from Investing Activities,-32309.26
2023-07-01,Net Cash from Investing Activities,-26545.75
2023-08-01,Net Cash from Investing Activities,-26075.11
2023-09-01,Net Cash from Investing Activities,-28357.44
2023-10-01,Net Cash from Investing Activities,-32740.84
2023-11-01,Net Cash from Investing Activities,-32055.24
2023-12-01,Net Cash from Investing Activities,-31763.32
2024-01-01,Net Cash from Investing Activities,-26413.09
2024-02-01,Net Cash from Investing Activities,-30656.8
2024-03-01,Net Cash from Investing Activities,-36863.99
2024-04-01,Net Cash from Investing Activities,-34785.58
2024-05-01,Net Cash from Investing Activities,-34212.79
2024-06-01,Net Cash from Investing Activities,-34490.87
2024-07-01,Net Cash from Investing Activities,-27575.99
2024-08-01,Net Cash from Investing Activities,-29254.53
2024-09-01,Net Cash from Investing Activities,-36883.74
2024-10-01,Net Cash from Investing Activities,-29909.98
2024-11-01,Net Cash from Investing Activities,-42221.33
2024-12-01,Net Cash from Investing Activities,-32787.29
2025-01-01,Net Cash from Investing Activities,-27355.43
2025-02-01,Net Cash from Investing Activities,-32675.77
2025-03-01,Net Cash from Investing Activities,-43327.19
2025-04-01,Net Cash from Investing Activities,-40860.33
2025-05-01,Net Cash from Investing Activities,-30534.74
2025-06-01,Net Cash from Investing Activities,-33539.38
2025-07-01,Net Cash from Investing Activities,-38539.21
2025-08-01,Net Cash from Investing Activities,-29512.26
2025-09-01,Net Cash from Investing Activities,-33765.14
2025-10-01,Net Cash from Investing Activities,-37590.11
2025-11-01,Net Cash from Investing Activities,-40674.47
2025-12-01,Net Cash from Investing Activities,-38602.64
2023-01-01,Net Cash from Financing Activities,-9000
2023-02-01,Net Cash from Financing Activities,-8910
2023-03-01,Net Cash from Financing Activities,-17563.52
2023-04-01,Net Cash from Financing Activities,-8732.69
2023-05-01,Net Cash from Financing Activities,-8645.36
2023-06-01,Net Cash from Financing Activities,-18569.2
2023-07-01,Net Cash from Financing Activities,-8473.32
2023-08-01,Net Cash from Financing Activities,-8388.59
2023-09-01,Net Cash from Financing Activities,130857.97
2023-10-01,Net Cash from Financing Activities,-9721.66
2023-11-01,Net Cash from Financing Activities,-9624.44
2023-12-01,Net Cash from Financing Activities,-23561.17
2024-01-01,Net Cash from Financing Activities,-9432.91
2024-02-01,Net Cash from Financing Activities,-9338.58
2024-03-01,Net Cash from Financing Activities,129969.11
2024-04-01,Net Cash from Financing Activities,-10652.75
2024-05-01,Net Cash from Financing Activities,-10546.22
2024-06-01,Net Cash from Financing Activities,-20929.39
2024-07-01,Net Cash from Financing Activities,-10336.35
2024-08-01,Net Cash from Financing Activities,-10232.98
2024-09-01,Net Cash from Financing Activities,127397.39
2024-10-01,Net Cash from Financing Activities,-11529.35
2024-11-01,Net Cash from Financing Activities,-11414.05
2024-12-01,Net Cash from Financing Activities,-25856.69
2025-01-01,Net Cash from Financing Activities,-11186.92
2025-02-01,Net Cash from Financing Activities,-11075.05
2025-03-01,Net Cash from Financing Activities,127513.13
2025-04-01,Net Cash from Financing Activities,-12354.65
2025-05-01,Net Cash from Financing Activities,-12231.11
2025-06-01,Net Cash from Financing Activities,-23487.73
2025-07-01,Net Cash from Financing Activities,-11987.71
2025-08-01,Net Cash from Financing Activities,-11867.83
2025-09-01,Net Cash from Financing Activities,125948.85
2025-10-01,Net Cash from Financing Activities,-13131.66
2025-11-01,Net Cash from Financing Activities,-13000.34
2025-12-01,Net Cash from Financing Activities,-29724.36
2023-01-01,Net Change in Cash,-1279.40999999999
2023-02-01,Net Change in Cash,4130.33999999997
2023-03-01,Net Change in Cash,-3915.99000000002
2023-04-01,Net Change in Cash,8897.81999999997
2023-05-01,Net Change in Cash,6345.49000000001
2023-06-01,Net Change in Cash,-4224.33000000003
2023-07-01,Net Change in Cash,3016.01999999998
2023-08-01,Net Change in Cash,11187.19
2023-09-01,Net Change in Cash,150372.03
2023-10-01,Net Change in Cash,11429.49
2023-11-01,Net Change in Cash,21273.75
2023-12-01,Net Change in Cash,6492.60000000004
2024-01-01,Net Change in Cash,3625.79000000001
2024-02-01,Net Change in Cash,-2573.45999999999
2024-03-01,Net Change in Cash,145281.69
2024-04-01,Net Change in Cash,5480.20000000004
2024-05-01,Net Change in Cash,12638.07
2024-06-01,Net Change in Cash,-4141.59000000001
2024-07-01,Net Change in Cash,5058.14
2024-08-01,Net Change in Cash,13260.5999999999
2024-09-01,Net Change in Cash,141104.21
2024-10-01,Net Change in Cash,19947.64
2024-11-01,Net Change in Cash,10468.62
2024-12-01,Net Change in Cash,-6332.41999999992
2025-01-01,Net Change in Cash,12700.01
2025-02-01,Net Change in Cash,-2491.05
2025-03-01,Net Change in Cash,144885.54
2025-04-01,Net Change in Cash,-2901.89999999999
2025-05-01,Net Change in Cash,16954.97
2025-06-01,Net Change in Cash,-6902.53999999997
2025-07-01,Net Change in Cash,-1422.86999999995
2025-08-01,Net Change in Cash,12980.4599999999
2025-09-01,Net Change in Cash,151089.73
2025-10-01,Net Change in Cash,7589.96000000004
2025-11-01,Net Change in Cash,6526.86000000002
2025-12-01,Net Change in Cash,-3831.42000000001
2023-01-01,Ending Cash Balance,248720.59
2023-02-01,Ending Cash Balance,252850.93
2023-03-01,Ending Cash Balance,248934.94
2023-04-01,Ending Cash Balance,257832.76
2023-05-01,Ending Cash Balance,264178.25
2023-06-01,Ending Cash Balance,259953.92
2023-07-01,Ending Cash Balance,262969.94
2023-08-01,Ending Cash Balance,274157.13
2023-09-01,Ending Cash Balance,424529.16
2023-10-01,Ending Cash Balance,435958.65
2023-11-01,Ending Cash Balance,457232.4
2023-12-01,Ending Cash Balance,463725
2024-01-01,Ending Cash Balance,467350.79
2024-02-01,Ending Cash Balance,464777.33
2024-03-01,Ending Cash Balance,610059.02
2024-04-01,Ending Cash Balance,615539.22
2024-05-01,Ending Cash Balance,628177.29
2024-06-01,Ending Cash Balance,624035.7
2024-07-01,Ending Cash Balance,629093.84
2024-08-01,Ending Cash Balance,642354.44
2024-09-01,Ending Cash Balance,783458.65
2024-10-01,Ending Cash Balance,803406.29
2024-11-01,Ending Cash Balance,813874.91
2024-12-01,Ending Cash Balance,807542.49
2025-01-01,Ending Cash Balance,820242.5
2025-02-01,Ending Cash Balance,817751.45
2025-03-01,Ending Cash Balance,962636.99
2025-04-01,Ending Cash Balance,959735.09
2025-05-01,Ending Cash Balance,976690.06
2025-06-01,Ending Cash Balance,969787.52
2025-07-01,Ending Cash Balance,968364.65
2025-08-01,Ending Cash Balance,981345.11
2025-09-01,Ending Cash Balance,1132434.84
2025-10-01,Ending Cash Balance,1140024.8
2025-11-01,Ending Cash Balance,1146551.66
2025-12-01,Ending Cash Balance,1142720.24
