Date,Year,Month,YearMonth,BusinessUnit,StatementType,LineItem,Category,Amount
2023-01-01,2023,1,202301,Retail,P&L,COGS,Direct Labor,31783.34
2023-01-01,2023,1,202301,Retail,P&L,COGS,Materials,54627.62
2023-01-01,2023,1,202301,Retail,P&L,COGS,Shipping & Logistics,12911.98
2023-01-01,2023,1,202301,Retail,P&L,Opex,IT & Software,2501.11
2023-01-01,2023,1,202301,Retail,P&L,Opex,Marketing,5652.14
2023-01-01,2023,1,202301,Retail,P&L,Opex,Professional Fees,1661.02
2023-01-01,2023,1,202301,Retail,P&L,Opex,R&D,2636.78
2023-01-01,2023,1,202301,Retail,P&L,Opex,Rent & Utilities,3591.57
2023-01-01,2023,1,202301,Retail,P&L,Opex,Salaries & Benefits,26351.41
2023-01-01,2023,1,202301,Retail,P&L,Revenue,Product Sales,128790.99
2023-01-01,2023,1,202301,Retail,P&L,Revenue,Service Revenue,42930.33
2023-01-01,2023,1,202301,Wholesale,CF,Investing CF,Capital Expenditures,-7692.58
2023-01-01,2023,1,202301,Wholesale,CF,Operating CF,Change in Accounts Payable,2585.12
2023-01-01,2023,1,202301,Wholesale,CF,Operating CF,Change in Accounts Receivable,-5823.07
2023-01-01,2023,1,202301,Wholesale,CF,Operating CF,Change in Inventory,-995.64
2023-01-01,2023,1,202301,Wholesale,P&L,COGS,Direct Labor,27964.93
2023-01-01,2023,1,202301,Wholesale,P&L,COGS,Materials,48064.72
2023-01-01,2023,1,202301,Wholesale,P&L,COGS,Shipping & Logistics,11360.75
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,IT & Software,1393.83
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,Marketing,4798.6
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,Professional Fees,1107.56
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,R&D,2442.01
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,Rent & Utilities,2761.36
2023-01-01,2023,1,202301,Wholesale,P&L,Opex,Salaries & Benefits,19643.57
2023-01-01,2023,1,202301,Wholesale,P&L,Revenue,Product Sales,97902.29
2023-01-01,2023,1,202301,Wholesale,P&L,Revenue,Service Revenue,32634.1
2023-02-01,2023,2,202302,Corporate,CF,Financing CF,Debt Repayment,-8910.0
2023-02-01,2023,2,202302,Corporate,P&L,Other,Depreciation & Amortization,18228.24
2023-02-01,2023,2,202302,Corporate,P&L,Other,Income Tax Expense,8136.42
2023-02-01,2023,2,202302,Corporate,P&L,Other,Interest Expense,5167.42
2023-02-01,2023,2,202302,E-commerce,CF,Investing CF,Capital Expenditures,-6904.44
2023-02-01,2023,2,202302,E-commerce,CF,Operating CF,Change in Accounts Payable,2568.95
2023-02-01,2023,2,202302,E-commerce,CF,Operating CF,Change in Accounts Receivable,-3982.56
2023-02-01,2023,2,202302,E-commerce,CF,Operating CF,Change in Inventory,-1522.09
2023-02-01,2023,2,202302,E-commerce,P&L,COGS,Direct Labor,13815.43
2023-02-01,2023,2,202302,E-commerce,P&L,COGS,Materials,23745.26
2023-02-01,2023,2,202302,E-commerce,P&L,COGS,Shipping & Logistics,5612.52
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,IT & Software,1041.52
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,Marketing,4122.59
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,Professional Fees,870.36
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,R&D,3429.62
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,Rent & Utilities,1790.44
2023-02-01,2023,2,202302,E-commerce,P&L,Opex,Salaries & Benefits,13231.9
2023-02-01,2023,2,202302,E-commerce,P&L,Revenue,Product Sales,74389.91
2023-02-01,2023,2,202302,E-commerce,P&L,Revenue,Service Revenue,8265.55
2023-02-01,2023,2,202302,Retail,CF,Investing CF,Capital Expenditures,-7199.25
2023-02-01,2023,2,202302,Retail,CF,Operating CF,Change in Accounts Payable,3128.74
2023-02-01,2023,2,202302,Retail,CF,Operating CF,Change in Accounts Receivable,-9663.4
2023-02-01,2023,2,202302,Retail,CF,Operating CF,Change in Inventory,-2864.93
2023-02-01,2023,2,202302,Retail,P&L,COGS,Direct Labor,29952.46
2023-02-01,2023,2,202302,Retail,P&L,COGS,Materials,51480.79
2023-02-01,2023,2,202302,Retail,P&L,COGS,Shipping & Logistics,12168.19
2023-02-01,2023,2,202302,Retail,P&L,Opex,IT & Software,1975.65
2023-02-01,2023,2,202302,Retail,P&L,Opex,Marketing,3731.58
2023-02-01,2023,2,202302,Retail,P&L,Opex,Professional Fees,1033.26
2023-02-01,2023,2,202302,Retail,P&L,Opex,R&D,2441.09
2023-02-01,2023,2,202302,Retail,P&L,Opex,Rent & Utilities,3611.31
2023-02-01,2023,2,202302,Retail,P&L,Opex,Salaries & Benefits,24923.56
2023-02-01,2023,2,202302,Retail,P&L,Revenue,Product Sales,125852.16
2023-02-01,2023,2,202302,Retail,P&L,Revenue,Service Revenue,41950.72
2023-02-01,2023,2,202302,Wholesale,CF,Investing CF,Capital Expenditures,-6273.06
2023-02-01,2023,2,202302,Wholesale,CF,Operating CF,Change in Accounts Payable,2860.87
2023-02-01,2023,2,202302,Wholesale,CF,Operating CF,Change in Accounts Receivable,-3500.41
2023-02-01,2023,2,202302,Wholesale,CF,Operating CF,Change in Inventory,-2096.58
2023-02-01,2023,2,202302,Wholesale,P&L,COGS,Direct Labor,26594.04
2023-02-01,2023,2,202302,Wholesale,P&L,COGS,Materials,45708.51
2023-02-01,2023,2,202302,Wholesale,P&L,COGS,Shipping & Logistics,10803.83
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,IT & Software,1676.15
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,Marketing,3932.62
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,Professional Fees,1333.95
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,R&D,2000.06
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,Rent & Utilities,2770.34
2023-02-01,2023,2,202302,Wholesale,P&L,Opex,Salaries & Benefits,19123.54
2023-02-01,2023,2,202302,Wholesale,P&L,Revenue,Product Sales,93190.93
2023-02-01,2023,2,202302,Wholesale,P&L,Revenue,Service Revenue,31063.64
2023-03-01,2023,3,202303,Corporate,CF,Financing CF,Debt Repayment,-8820.9
2023-03-01,2023,3,202303,Corporate,CF,Financing CF,Dividends Paid,-8742.62
2023-03-01,2023,3,202303,Corporate,P&L,Other,Depreciation & Amortization,18013.12
2023-03-01,2023,3,202303,Corporate,P&L,Other,Income Tax Expense,10108.07
2023-03-01,2023,3,202303,Corporate,P&L,Other,Interest Expense,5092.55
2023-03-01,2023,3,202303,E-commerce,CF,Investing CF,Capital Expenditures,-7091.1
2023-03-01,2023,3,202303,E-commerce,CF,Operating CF,Change in Accounts Payable,1966.45
2023-03-01,2023,3,202303,E-commerce,CF,Operating CF,Change in Accounts Receivable,-3578.23
2023-03-01,2023,3,202303,E-commerce,CF,Operating CF,Change in Inventory,-2045.3
2023-03-01,2023,3,202303,E-commerce,P&L,COGS,Direct Labor,16018.61
2023-03-01,2023,3,202303,E-commerce,P&L,COGS,Materials,27531.98
2023-03-01,2023,3,202303,E-commerce,P&L,COGS,Shipping & Logistics,6507.56
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,IT & Software,1263.93
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,Marketing,5288.4
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,Professional Fees,813.41
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,R&D,3072.25
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,Rent & Utilities,1821.05
2023-03-01,2023,3,202303,E-commerce,P&L,Opex,Salaries & Benefits,13152.43
2023-03-01,2023,3,202303,E-commerce,P&L,Revenue,Product Sales,84759.64
2023-03-01,2023,3,202303,E-commerce,P&L,Revenue,Service Revenue,9417.74
2023-03-01,2023,3,202303,Retail,CF,Investing CF,Capital Expenditures,-8126.31
2023-03-01,2023,3,202303,Retail,CF,Operating CF,Change in Accounts Payable,2446.63
2023-03-01,2023,3,202303,Retail,CF,Operating CF,Change in Accounts Receivable,-7138.63
2023-03-01,2023,3,202303,Retail,CF,Operating CF,Change in Inventory,-3895.95
2023-03-01,2023,3,202303,Retail,P&L,COGS,Direct Labor,33331.71
2023-03-01,2023,3,202303,Retail,P&L,COGS,Materials,57288.88
2023-03-01,2023,3,202303,Retail,P&L,COGS,Shipping & Logistics,13541.01
2023-03-01,2023,3,202303,Retail,P&L,Opex,IT & Software,2054.46
2023-03-01,2023,3,202303,Retail,P&L,Opex,Marketing,4447.63
2023-03-01,2023,3,202303,Retail,P&L,Opex,Professional Fees,1973.46
2023-03-01,2023,3,202303,Retail,P&L,Opex,R&D,2568.37
2023-03-01,2023,3,202303,Retail,P&L,Opex,Rent & Utilities,3589.5
2023-03-01,2023,3,202303,Retail,P&L,Opex,Salaries & Benefits,25790.75
2023-03-01,2023,3,202303,Retail,P&L,Revenue,Product Sales,134393.57
2023-03-01,2023,3,202303,Retail,P&L,Revenue,Service Revenue,44797.86
2023-03-01,2023,3,202303,Wholesale,CF,Investing CF,Capital Expenditures,-9718.84
2023-03-01,2023,3,202303,Wholesale,CF,Operating CF,Change in Accounts Payable,2626.88
2023-03-01,2023,3,202303,Wholesale,CF,Operating CF,Change in Accounts Receivable,-5437.15
2023-03-01,2023,3,202303,Wholesale,CF,Operating CF,Change in Inventory,-3230.14
2023-03-01,2023,3,202303,Wholesale,P&L,COGS,Direct Labor,29094.19
2023-03-01,2023,3,202303,Wholesale,P&L,COGS,Materials,50005.64
2023-03-01,2023,3,202303,Wholesale,P&L,COGS,Shipping & Logistics,11819.51
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,IT & Software,1574.97
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,Marketing,3869.61
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,Professional Fees,1167.93
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,R&D,2532.73
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,Rent & Utilities,2800.99
2023-03-01,2023,3,202303,Wholesale,P&L,Opex,Salaries & Benefits,19047.12
2023-03-01,2023,3,202303,Wholesale,P&L,Revenue,Product Sales,105501.83
2023-03-01,2023,3,202303,Wholesale,P&L,Revenue,Service Revenue,35167.28
2023-04-01,2023,4,202304,Corporate,CF,Financing CF,Debt Repayment,-8732.69
2023-04-01,2023,4,202304,Corporate,P&L,Other,Depreciation & Amortization,17672.93
2023-04-01,2023,4,202304,Corporate,P&L,Other,Income Tax Expense,12195.92
2023-04-01,2023,4,202304,Corporate,P&L,Other,Interest Expense,5247.0
2023-04-01,2023,4,202304,E-commerce,CF,Investing CF,Capital Expenditures,-9090.88
2023-04-01,2023,4,202304,E-commerce,CF,Operating CF,Change in Accounts Payable,3191.38
2023-04-01,2023,4,202304,E-commerce,CF,Operating CF,Change in Accounts Receivable,-4620.29
2023-04-01,2023,4,202304,E-commerce,CF,Operating CF,Change in Inventory,-1359.42
2023-04-01,2023,4,202304,E-commerce,P&L,COGS,Direct Labor,15975.59
2023-04-01,2023,4,202304,E-commerce,P&L,COGS,Materials,27458.04
2023-04-01,2023,4,202304,E-commerce,P&L,COGS,Shipping & Logistics,6490.08
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,IT & Software,972.88
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,Marketing,4859.28
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,Professional Fees,827.46
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,R&D,2868.79
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,Rent & Utilities,1800.84
2023-04-01,2023,4,202304,E-commerce,P&L,Opex,Salaries & Benefits,13640.48
2023-04-01,2023,4,202304,E-commerce,P&L,Revenue,Product Sales,87091.56
2023-04-01,2023,4,202304,E-commerce,P&L,Revenue,Service Revenue,9676.84
2023-04-01,2023,4,202304,Retail,CF,Investing CF,Capital Expenditures,-13671.84
2023-04-01,2023,4,202304,Retail,CF,Operating CF,Change in Accounts Payable,2949.52
2023-04-01,2023,4,202304,Retail,CF,Operating CF,Change in Accounts Receivable,-4186.59
2023-04-01,2023,4,202304,Retail,CF,Operating CF,Change in Inventory,-2710.04
2023-04-01,2023,4,202304,Retail,P&L,COGS,Direct Labor,33542.34
2023-04-01,2023,4,202304,Retail,P&L,COGS,Materials,57650.89
2023-04-01,2023,4,202304,Retail,P&L,COGS,Shipping & Logistics,13626.57
2023-04-01,2023,4,202304,Retail,P&L,Opex,IT & Software,2173.68
2023-04-01,2023,4,202304,Retail,P&L,Opex,Marketing,4518.66
2023-04-01,2023,4,202304,Retail,P&L,Opex,Professional Fees,1353.28
2023-04-01,2023,4,202304,Retail,P&L,Opex,R&D,2951.89
2023-04-01,2023,4,202304,Retail,P&L,Opex,Rent & Utilities,3606.17
2023-04-01,2023,4,202304,Retail,P&L,Opex,Salaries & Benefits,25807.85
2023-04-01,2023,4,202304,Retail,P&L,Revenue,Product Sales,141071.94
2023-04-01,2023,4,202304,Retail,P&L,Revenue,Service Revenue,47023.98
2023-04-01,2023,4,202304,Wholesale,CF,Investing CF,Capital Expenditures,-10443.94
2023-04-01,2023,4,202304,Wholesale,CF,Operating CF,Change in Accounts Payable,3110.01
2023-04-01,2023,4,202304,Wholesale,CF,Operating CF,Change in Accounts Receivable,-6672.79
2023-04-01,2023,4,202304,Wholesale,CF,Operating CF,Change in Inventory,-5354.59
2023-04-01,2023,4,202304,Wholesale,P&L,COGS,Direct Labor,29691.04
2023-04-01,2023,4,202304,Wholesale,P&L,COGS,Materials,51031.47
2023-04-01,2023,4,202304,Wholesale,P&L,COGS,Shipping & Logistics,12061.98
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,IT & Software,1979.92
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,Marketing,4090.58
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,Professional Fees,1064.22
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,R&D,1803.28
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,Rent & Utilities,2838.27
2023-04-01,2023,4,202304,Wholesale,P&L,Opex,Salaries & Benefits,18466.3
2023-04-01,2023,4,202304,Wholesale,P&L,Revenue,Product Sales,106665.31
2023-04-01,2023,4,202304,Wholesale,P&L,Revenue,Service Revenue,35555.1
2023-05-01,2023,5,202305,Corporate,CF,Financing CF,Debt Repayment,-8645.36
2023-05-01,2023,5,202305,Corporate,P&L,Other,Depreciation & Amortization,18810.43
2023-05-01,2023,5,202305,Corporate,P&L,Other,Income Tax Expense,12019.19
2023-05-01,2023,5,202305,Corporate,P&L,Other,Interest Expense,5310.34
2023-05-01,2023,5,202305,E-commerce,CF,Investing CF,Capital Expenditures,-7641.83
2023-05-01,2023,5,202305,E-commerce,CF,Operating CF,Change in Accounts Payable,1366.57
2023-05-01,2023,5,202305,E-commerce,CF,Operating CF,Change in Accounts Receivable,-5221.43
2023-05-01,2023,5,202305,E-commerce,CF,Operating CF,Change in Inventory,-1652.23
2023-05-01,2023,5,202305,E-commerce,P&L,COGS,Direct Labor,16947.74
2023-05-01,2023,5,202305,E-commerce,P&L,COGS,Materials,29128.93
2023-05-01,2023,5,202305,E-commerce,P&L,COGS,Shipping & Logistics,6885.02
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,IT & Software,1090.79
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,Marketing,4866.15
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,Professional Fees,747.95
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,R&D,3027.92
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,Rent & Utilities,1803.36
2023-05-01,2023,5,202305,E-commerce,P&L,Opex,Salaries & Benefits,13432.06
2023-05-01,2023,5,202305,E-commerce,P&L,Revenue,Product Sales,88860.99
2023-05-01,2023,5,202305,E-commerce,P&L,Revenue,Service Revenue,9873.44
2023-05-01,2023,5,202305,Retail,CF,Investing CF,Capital Expenditures,-13756.71
2023-05-01,2023,5,202305,Retail,CF,Operating CF,Change in Accounts Payable,3481.02
2023-05-01,2023,5,202305,Retail,CF,Operating CF,Change in Accounts Receivable,-5741.87
2023-05-01,2023,5,202305,Retail,CF,Operating CF,Change in Inventory,-3540.48
2023-05-01,2023,5,202305,Retail,P&L,COGS,Direct Labor,34351.33
2023-05-01,2023,5,202305,Retail,P&L,COGS,Materials,59041.35
2023-05-01,2023,5,202305,Retail,P&L,COGS,Shipping & Logistics,13955.23
2023-05-01,2023,5,202305,Retail,P&L,Opex,IT & Software,2440.4
2023-05-01,2023,5,202305,Retail,P&L,Opex,Marketing,6035.2
2023-05-01,2023,5,202305,Retail,P&L,Opex,Professional Fees,1708.21
2023-05-01,2023,5,202305,Retail,P&L,Opex,R&D,2578.19
2023-05-01,2023,5,202305,Retail,P&L,Opex,Rent & Utilities,3622.02
2023-05-01,2023,5,202305,Retail,P&L,Opex,Salaries & Benefits,25512.09
2023-05-01,2023,5,202305,Retail,P&L,Revenue,Product Sales,143885.47
2023-05-01,2023,5,202305,Retail,P&L,Revenue,Service Revenue,47961.82
2023-05-01,2023,5,202305,Wholesale,CF,Investing CF,Capital Expenditures,-11349.66
2023-05-01,2023,5,202305,Wholesale,CF,Operating CF,Change in Accounts Payable,3691.27
2023-05-01,2023,5,202305,Wholesale,CF,Operating CF,Change in Accounts Receivable,-8793.39
2023-05-01,2023,5,202305,Wholesale,CF,Operating CF,Change in Inventory,-2827.97
2023-05-01,2023,5,202305,Wholesale,P&L,COGS,Direct Labor,30237.38
2023-05-01,2023,5,202305,Wholesale,P&L,COGS,Materials,51970.5
2023-05-01,2023,5,202305,Wholesale,P&L,COGS,Shipping & Logistics,12283.94
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,IT & Software,1596.67
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,Marketing,3323.63
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,Professional Fees,877.73
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,R&D,1972.41
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,Rent & Utilities,2760.18
2023-05-01,2023,5,202305,Wholesale,P&L,Opex,Salaries & Benefits,20037.05
2023-05-01,2023,5,202305,Wholesale,P&L,Revenue,Product Sales,109469.1
2023-05-01,2023,5,202305,Wholesale,P&L,Revenue,Service Revenue,36489.7
2023-06-01,2023,6,202306,Corporate,CF,Financing CF,Debt Repayment,-8558.91
2023-06-01,2023,6,202306,Corporate,CF,Financing CF,Dividends Paid,-10010.29
2023-06-01,2023,6,202306,Corporate,P&L,Other,Depreciation & Amortization,18719.88
2023-06-01,2023,6,202306,Corporate,P&L,Other,Income Tax Expense,11591.79
2023-06-01,2023,6,202306,Corporate,P&L,Other,Interest Expense,5492.31
2023-06-01,2023,6,202306,E-commerce,CF,Investing CF,Capital Expenditures,-8172.18
2023-06-01,2023,6,202306,E-commerce,CF,Operating CF,Change in Accounts Payable,687.1
2023-06-01,2023,6,202306,E-commerce,CF,Operating CF,Change in Accounts Receivable,-2283.59
2023-06-01,2023,6,202306,E-commerce,CF,Operating CF,Change in Inventory,-1728.18
2023-06-01,2023,6,202306,E-commerce,P&L,COGS,Direct Labor,16284.28
2023-06-01,2023,6,202306,E-commerce,P&L,COGS,Materials,27988.6
2023-06-01,2023,6,202306,E-commerce,P&L,COGS,Shipping & Logistics,6615.49
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,IT & Software,1093.47
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,Marketing,4623.74
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,Professional Fees,990.89
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,R&D,3347.49
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,Rent & Utilities,1798.82
2023-06-01,2023,6,202306,E-commerce,P&L,Opex,Salaries & Benefits,13659.89
2023-06-01,2023,6,202306,E-commerce,P&L,Revenue,Product Sales,90843.45
2023-06-01,2023,6,202306,E-commerce,P&L,Revenue,Service Revenue,10093.72
2023-06-01,2023,6,202306,Retail,CF,Investing CF,Capital Expenditures,-14485.18
2023-06-01,2023,6,202306,Retail,CF,Operating CF,Change in Accounts Payable,2977.9
2023-06-01,2023,6,202306,Retail,CF,Operating CF,Change in Accounts Receivable,-8186.3
2023-06-01,2023,6,202306,Retail,CF,Operating CF,Change in Inventory,-3547.59
2023-06-01,2023,6,202306,Retail,P&L,COGS,Direct Labor,34139.55
2023-06-01,2023,6,202306,Retail,P&L,COGS,Materials,58677.35
2023-06-01,2023,6,202306,Retail,P&L,COGS,Shipping & Logistics,13869.19
2023-06-01,2023,6,202306,Retail,P&L,Opex,IT & Software,2209.56
2023-06-01,2023,6,202306,Retail,P&L,Opex,Marketing,4619.65
2023-06-01,2023,6,202306,Retail,P&L,Opex,Professional Fees,1729.02
2023-06-01,2023,6,202306,Retail,P&L,Opex,R&D,3008.02
2023-06-01,2023,6,202306,Retail,P&L,Opex,Rent & Utilities,3648.82
2023-06-01,2023,6,202306,Retail,P&L,Opex,Salaries & Benefits,25033.34
2023-06-01,2023,6,202306,Retail,P&L,Revenue,Product Sales,138470.31
2023-06-01,2023,6,202306,Retail,P&L,Revenue,Service Revenue,46156.77
2023-06-01,2023,6,202306,Wholesale,CF,Investing CF,Capital Expenditures,-9651.9
2023-06-01,2023,6,202306,Wholesale,CF,Operating CF,Change in Accounts Payable,4548.15
2023-06-01,2023,6,202306,Wholesale,CF,Operating CF,Change in Accounts Receivable,-7390.36
2023-06-01,2023,6,202306,Wholesale,CF,Operating CF,Change in Inventory,-1633.03
2023-06-01,2023,6,202306,Wholesale,P&L,COGS,Direct Labor,30010.45
2023-06-01,2023,6,202306,Wholesale,P&L,COGS,Materials,51580.46
2023-06-01,2023,6,202306,Wholesale,P&L,COGS,Shipping & Logistics,12191.75
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,IT & Software,1563.8
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,Marketing,5328.56
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,Professional Fees,810.25
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,R&D,1920.12
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,Rent & Utilities,2794.67
2023-06-01,2023,6,202306,Wholesale,P&L,Opex,Salaries & Benefits,20318.42
2023-06-01,2023,6,202306,Wholesale,P&L,Revenue,Product Sales,108439.15
2023-06-01,2023,6,202306,Wholesale,P&L,Revenue,Service Revenue,36146.38
2023-07-01,2023,7,202307,Corporate,CF,Financing CF,Debt Repayment,-8473.32
2023-07-01,2023,7,202307,Corporate,P&L,Other,Depreciation & Amortization,18332.13
2023-07-01,2023,7,202307,Corporate,P&L,Other,Income Tax Expense,8723.32
2023-07-01,2023,7,202307,Corporate,P&L,Other,Interest Expense,4750.52
2023-07-01,2023,7,202307,E-commerce,CF,Investing CF,Capital Expenditures,-7206.76
2023-07-01,2023,7,202307,E-commerce,CF,Operating CF,Change in Accounts Payable,1262.02
2023-07-01,2023,7,202307,E-commerce,CF,Operating CF,Change in Accounts Receivable,-5776.85
2023-07-01,2023,7,202307,E-commerce,CF,Operating CF,Change in Inventory,-797.43
2023-07-01,2023,7,202307,E-commerce,P&L,COGS,Direct Labor,15683.59
2023-07-01,2023,7,202307,E-commerce,P&L,COGS,Materials,26956.18
2023-07-01,2023,7,202307,E-commerce,P&L,COGS,Shipping & Logistics,6371.46
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,IT & Software,1250.29
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,Marketing,4816.72
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,Professional Fees,705.72
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,R&D,2559.13
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,Rent & Utilities,1815.7
2023-07-01,2023,7,202307,E-commerce,P&L,Opex,Salaries & Benefits,13464.37
2023-07-01,2023,7,202307,E-commerce,P&L,Revenue,Product Sales,83642.17
2023-07-01,2023,7,202307,E-commerce,P&L,Revenue,Service Revenue,9293.57
2023-07-01,2023,7,202307,Retail,CF,Investing CF,Capital Expenditures,-9823.05
2023-07-01,2023,7,202307,Retail,CF,Operating CF,Change in Accounts Payable,4044.36
2023-07-01,2023,7,202307,Retail,CF,Operating CF,Change in Accounts Receivable,-6824.52
2023-07-01,2023,7,202307,Retail,CF,Operating CF,Change in Inventory,-4730.73
2023-07-01,2023,7,202307,Retail,P&L,COGS,Direct Labor,34960.64
2023-07-01,2023,7,202307,Retail,P&L,COGS,Materials,60088.61
2023-07-01,2023,7,202307,Retail,P&L,COGS,Shipping & Logistics,14202.76
2023-07-01,2023,7,202307,Retail,P&L,Opex,IT & Software,2259.48
2023-07-01,2023,7,202307,Retail,P&L,Opex,Marketing,3326.26
2023-07-01,2023,7,202307,Retail,P&L,Opex,Professional Fees,867.58
2023-07-01,2023,7,202307,Retail,P&L,Opex,R&D,2823.03
2023-07-01,2023,7,202307,Retail,P&L,Opex,Rent & Utilities,3589.24
2023-07-01,2023,7,202307,Retail,P&L,Opex,Salaries & Benefits,26764.98
2023-07-01,2023,7,202307,Retail,P&L,Revenue,Product Sales,136987.43
2023-07-01,2023,7,202307,Retail,P&L,Revenue,Service Revenue,45662.48
2023-07-01,2023,7,202307,Wholesale,CF,Investing CF,Capital Expenditures,-9515.94
2023-07-01,2023,7,202307,Wholesale,CF,Operating CF,Change in Accounts Payable,2005.38
2023-07-01,2023,7,202307,Wholesale,CF,Operating CF,Change in Accounts Receivable,-5116.24
2023-07-01,2023,7,202307,Wholesale,CF,Operating CF,Change in Inventory,-2234.08
